I;D
motility_egd_rt;728,6550292
motility_egd_rt;740,8987979
motility_egd_rt;590,2865056
motility_egd_rt;427,3245144
motility_egd_rt;934,2822352
motility_egd_rt;411,2518337
motility_egd_rt;472,0017981
motility_egd_rt;397,961105
motility_egd_rt;823,9145462
motility_egd_rt;677,0197723
motility_egd_rt;891,8421136
motility_egd_rt;790,6345378
motility_egd_rt;519,2624682
motility_egd_rt;848,2681931
motility_egd_rt;509,6856229
motility_egd_rt;712,828295
motility_egd_rt;1106,185559
motility_egd_rt;507,7866288
motility_egd_rt;702,4562135
motility_egd_rt;556,8186364
motility_egd_rt;524,8344019
motility_egd_rt;841,5921507
motility_egd_rt;815,2563655
motility_egd_rt;787,160539
motility_egd_rt;533,178912
motility_egd_rt;692,9639135
motility_egd_rt;554,8419896
motility_egd_rt;618,5416621
motility_egd_rt;774,8999906
motility_egd_rt;548,9963804
motility_egd_rt;872,1613846
motility_egd_rt;557,7505125
motility_egd_rt;485,2900004
motility_egd_rt;656,116206
motility_egd_rt;725,2759836
motility_egd_rt;694,8964292
motility_egd_rt;1117,256798
motility_egd_rt;789,144166
motility_egd_rt;642,6660996
motility_egd_rt;521,8059352
motility_egd_rt;680,9327714
motility_egd_rt;650,0530663
motility_egd_rt;638,2498353
motility_egd_rt;917,2511982
motility_egd_rt;511,2172821
motility_egd_rt;554,3902456
motility_egd_rt;501,8802539
motility_egd_rt;997,0342223
motility_egd_rt;673,8005753
motility_egd_rt;974,2974758
motility_egd_rt;621,5880591
motility_egd_rt;372,6400077
motility_egd_rt;143,4518324
motility_egd_rt;753,0387578
motility_egd_rt;858,0148375
motility_egd_rt;313,566
motility_egd_rt;551,3717636
motility_egd_rt;497,9659753
motility_egd_rt;996,8586584
motility_egd_rt;1079,080325
motility_egd_rt;850,9445852
motility_egd_rt;694,3792406
motility_egd_rt;580,1961598
motility_egd_rt;681,8175438
motility_egd_rt;689,9207993
motility_egd_rt;601,3074898
motility_egd_rt;779,9915836
motility_egd_rt;397,2181854
motility_egd_rt;782,7095301
motility_egd_rt;427,2496791
motility_egd_rt;1200,048896
motility_egd_rt;1392,470657
motility_egd_rt;804,4252039
motility_egd_rt;713,6879112
motility_egd_rt;761,7996607
motility_egd_rt;881,7045485
motility_egd_rt;752,5779937
motility_egd_rt;736,024776
motility_egd_rt;542,7417155
motility_egd_rt;718,4011019
motility_egd_rt;556,2247104
motility_egd_rt;505,0877663
motility_egd_rt;866,3110927
motility_egd_rt;491,3178013
motility_egd_rt;925,9643291
motility_egd_rt;621,9970037
motility_egd_rt;641,6240801
motility_egd_rt;685,8603684
motility_egd_rt;708,9604499
motility_egd_rt;853,6762071
motility_egd_rt;467,3415152
motility_egd_rt;840,2072189
motility_egd_rt;457,0367448
motility_egd_rt;691,6517557
motility_egd_rt;907,1721357
motility_egd_rt;606,8954958
motility_egd_rt;714,8754484
motility_egd_rt;897,9835897
motility_egd_rt;783,3464593
motility_egd_rt;500,4963872
motility_egd_rt;537,4343568
motility_egd_rt;515,8053423
motility_egd_rt;972,0698054
motility_egd_rt;671,2947103
motility_egd_rt;609,6273883
motility_egd_rt;818,9562067
motility_egd_rt;1093,024305
motility_egd_rt;498,3837844
motility_egd_rt;963,2376877
motility_egd_rt;373,8039409
motility_egd_rt;516,3680324
motility_egd_rt;369,9613851
motility_egd_rt;490,1411954
motility_egd_rt;672,7339522
motility_egd_rt;954,4051585
motility_egd_rt;545,4527579
motility_egd_rt;848,8425455
motility_egd_rt;889,720258
motility_egd_rt;661,4522026
motility_egd_rt;834,3697391
motility_egd_rt;813,7908315
motility_egd_rt;460,0352663
motility_egd_rt;400,6951405
motility_egd_rt;678,1087525
motility_egd_rt;778,4586729
motility_egd_rt;594,7645133
motility_egd_rt;759,1237598
motility_egd_rt;541,9781011
motility_egd_rt;824,0616302
motility_egd_rt;497,2975625
motility_egd_rt;734,7355777
motility_egd_rt;649,121753
motility_egd_rt;1517,343317
motility_egd_rt;504,288677
motility_egd_rt;524,9633701
motility_egd_rt;594,036167
motility_egd_rt;710,5294492
motility_egd_rt;940,4756239
motility_egd_rt;699,3567941
motility_egd_rt;486,474038
motility_egd_rt;963,7693214
motility_egd_rt;387,5226574
motility_egd_rt;379,5491814
motility_egd_rt;612,8093064
motility_egd_rt;598,8731059
motility_egd_rt;382,8093279
motility_egd_rt;1047,879945
motility_egd_rt;834,5309392
motility_egd_rt;499,6256014
motility_egd_rt;677,0967771
motility_egd_rt;758,6946976
motility_egd_rt;511,1387236
motility_egd_rt;642,0196699
motility_egd_rt;569,0984591
motility_egd_rt;506,406399
motility_egd_rt;873,0434186
motility_egd_rt;1206,992268
motility_egd_rt;968,92201
motility_egd_rt;730,253576
motility_egd_rt;808,7561619
motility_egd_rt;608,3832405
motility_egd_rt;953,9378904
motility_egd_rt;660,8868477
motility_egd_rt;580,7838565
motility_egd_rt;790,7177786
motility_egd_rt;422,5724227
motility_egd_rt;577,0920389
motility_egd_rt;607,9804074
motility_egd_rt;446,2821537
motility_egd_rt;751,1231528
motility_egd_rt;682,9256463
motility_egd_rt;414,8183273
motility_egd_rt;471,4677447
motility_egd_rt;527,5258138
motility_egd_rt;960,0346009
motility_egd_rt;480,4070886
motility_egd_rt;526,9821548
motility_egd_rt;632,6686344
motility_egd_rt;689,3553484
motility_egd_rt;763,284428
motility_egd_rt;524,8211743
motility_egd_rt;547,6754299
motility_egd_rt;870,4809166
motility_egd_rt;805,649547
motility_egd_rt;484,7532366
motility_egd_rt;1000,515865
motility_egd_rt;773,4051837
motility_egd_rt;697,3663162
motility_egd_rt;405,1135471
motility_egd_rt;820,4645723
motility_egd_rt;501,5546799
motility_egd_rt;624,6643784
motility_egd_rt;433,5690377
motility_egd_rt;393,184099
motility_egd_rt;634,5023798
motility_egd_rt;1170,323465
motility_egd_rt;506,55653
motility_egd_rt;473,1541736
