Position,,,,,,,,,,Template for Motility Lab,,,time(sec) for experiment in cell O1 from input box,0.25,,,copy-paste columns S-X directly into 2ptrack,8,1,0.25,295.338,258.637,0.1815
476.924,317.592,0.1815,um,Spot,Position,1,1000000324,324,fill,325,1,0.25,476.924,317.592,0.1815,,,327,1,0.25,421.683,317.781,0.1815
236.895,317.661,0.1815,um,Spot,Position,1,1000000325,325,fill,326,1,0.25,236.895,317.661,0.1815,,,330,1,0.25,354.595,318.305,0.1815
421.683,317.781,0.1815,um,Spot,Position,1,1000000326,326,fill,327,1,0.25,421.683,317.781,0.1815,,,332,1,0.25,426.027,318.136,0.1815
354.595,318.305,0.1815,um,Spot,Position,1,1000000329,329,fill,330,1,0.25,354.595,318.305,0.1815,,,334,1,0.25,386.765,318.581,0.1815
426.027,318.136,0.1815,um,Spot,Position,1,1000000331,331,fill,332,1,0.25,426.027,318.136,0.1815,,,336,1,0.25,301.846,319.353,0.1815
386.765,318.581,0.1815,um,Spot,Position,1,1000000333,333,fill,334,1,0.25,386.765,318.581,0.1815,,,341,1,0.25,170.414,319.57,0.1815
301.846,319.353,0.1815,um,Spot,Position,1,1000000335,335,fill,336,1,0.25,301.846,319.353,0.1815,,,347,1,0.25,206.125,321.95,0.1815
170.414,319.57,0.1815,um,Spot,Position,1,1000000340,340,fill,341,1,0.25,170.414,319.57,0.1815,,,349,1,0.25,226.796,322.756,0.1815
206.125,321.95,0.1815,um,Spot,Position,1,1000000346,346,fill,347,1,0.25,206.125,321.95,0.1815,,,355,1,0.25,472.63,323.717,0.1815
226.796,322.756,0.1815,um,Spot,Position,1,1000000348,348,fill,349,1,0.25,226.796,322.756,0.1815,,,357,1,0.25,188.374,324.347,0.1815
472.63,323.717,0.1815,um,Spot,Position,1,1000000354,354,fill,355,1,0.25,472.63,323.717,0.1815,,,359,1,0.25,213.89,324.846,0.1815
188.374,324.347,0.1815,um,Spot,Position,1,1000000356,356,fill,357,1,0.25,188.374,324.347,0.1815,,,363,1,0.25,166.059,325.398,0.1815
213.89,324.846,0.1815,um,Spot,Position,1,1000000358,358,fill,359,1,0.25,213.89,324.846,0.1815,,,366,1,0.25,241.515,325.693,0.1815
166.059,325.398,0.1815,um,Spot,Position,1,1000000362,362,fill,363,1,0.25,166.059,325.398,0.1815,,,369,1,0.25,253.832,326.117,0.1815
241.515,325.693,0.1815,um,Spot,Position,1,1000000365,365,fill,366,1,0.25,241.515,325.693,0.1815,,,371,1,0.25,322.546,326.373,0.1815
253.832,326.117,0.1815,um,Spot,Position,1,1000000368,368,fill,369,1,0.25,253.832,326.117,0.1815,,,373,1,0.25,472.367,326.656,0.1815
322.546,326.373,0.1815,um,Spot,Position,1,1000000370,370,fill,371,1,0.25,322.546,326.373,0.1815,,,385,1,0.25,419.024,329.062,0.1815
472.367,326.656,0.1815,um,Spot,Position,1,1000000372,372,fill,373,1,0.25,472.367,326.656,0.1815,,,386,1,0.25,445.389,329.266,0.1815
419.024,329.062,0.1815,um,Spot,Position,1,1000000384,384,fill,385,1,0.25,419.024,329.062,0.1815,,,388,1,0.25,209.336,330.189,0.1815
445.389,329.266,0.1815,um,Spot,Position,1,1000000385,385,fill,386,1,0.25,445.389,329.266,0.1815,,,391,1,0.25,482.628,331.378,0.1815
209.336,330.189,0.1815,um,Spot,Position,1,1000000387,387,fill,388,1,0.25,209.336,330.189,0.1815,,,392,1,0.25,296.492,331.902,0.1815
482.628,331.378,0.1815,um,Spot,Position,1,1000000390,390,fill,391,1,0.25,482.628,331.378,0.1815,,,393,1,0.25,381.956,331.958,0.1815
296.492,331.902,0.1815,um,Spot,Position,1,1000000391,391,fill,392,1,0.25,296.492,331.902,0.1815,,,394,1,0.25,241.252,332.463,0.1815
381.956,331.958,0.1815,um,Spot,Position,1,1000000392,392,fill,393,1,0.25,381.956,331.958,0.1815,,,395,1,0.25,195.739,332.672,0.1815
241.252,332.463,0.1815,um,Spot,Position,1,1000000393,393,fill,394,1,0.25,241.252,332.463,0.1815,,,403,1,0.25,467.11,333.68,0.1815
195.739,332.672,0.1815,um,Spot,Position,1,1000000394,394,fill,395,1,0.25,195.739,332.672,0.1815,,,404,1,0.25,480.793,333.678,0.1815
467.11,333.68,0.1815,um,Spot,Position,1,1000000402,402,fill,403,1,0.25,467.11,333.68,0.1815,,,408,1,0.25,171.482,334.991,0.1815
480.793,333.678,0.1815,um,Spot,Position,1,1000000403,403,fill,404,1,0.25,480.793,333.678,0.1815,,,410,1,0.25,291.781,335.261,0.1815
171.482,334.991,0.1815,um,Spot,Position,1,1000000407,407,fill,408,1,0.25,171.482,334.991,0.1815,,,418,1,0.25,414.618,336.261,0.1815
291.781,335.261,0.1815,um,Spot,Position,1,1000000409,409,fill,410,1,0.25,291.781,335.261,0.1815,,,419,1,0.25,239.208,336.723,0.1815
414.618,336.261,0.1815,um,Spot,Position,1,1000000417,417,fill,418,1,0.25,414.618,336.261,0.1815,,,421,1,0.25,464.122,337.547,0.1815
239.208,336.723,0.1815,um,Spot,Position,1,1000000418,418,fill,419,1,0.25,239.208,336.723,0.1815,,,424,1,0.25,346.992,338.124,0.1815
464.122,337.547,0.1815,um,Spot,Position,1,1000000420,420,fill,421,1,0.25,464.122,337.547,0.1815,,,425,1,0.25,418.084,337.954,0.1815
346.992,338.124,0.1815,um,Spot,Position,1,1000000423,423,fill,424,1,0.25,346.992,338.124,0.1815,,,434,1,0.25,433.303,340.008,0.1815
418.084,337.954,0.1815,um,Spot,Position,1,1000000424,424,fill,425,1,0.25,418.084,337.954,0.1815,,,436,1,0.25,453.167,341.148,0.1815
433.303,340.008,0.1815,um,Spot,Position,1,1000000433,433,fill,434,1,0.25,433.303,340.008,0.1815,,,438,1,0.25,244.084,341.562,0.1815
453.167,341.148,0.1815,um,Spot,Position,1,1000000435,435,fill,436,1,0.25,453.167,341.148,0.1815,,,441,1,0.25,280.528,341.645,0.1815
244.084,341.562,0.1815,um,Spot,Position,1,1000000437,437,fill,438,1,0.25,244.084,341.562,0.1815,,,444,1,0.25,214.378,341.95,0.1815
280.528,341.645,0.1815,um,Spot,Position,1,1000000440,440,fill,441,1,0.25,280.528,341.645,0.1815,,,448,1,0.25,443.234,342.727,0.1815
214.378,341.95,0.1815,um,Spot,Position,1,1000000443,443,fill,444,1,0.25,214.378,341.95,0.1815,,,451,1,0.25,341.857,343.579,0.1815
443.234,342.727,0.1815,um,Spot,Position,1,1000000447,447,fill,448,1,0.25,443.234,342.727,0.1815,,,454,1,0.25,335.343,343.942,0.1815
341.857,343.579,0.1815,um,Spot,Position,1,1000000450,450,fill,451,1,0.25,341.857,343.579,0.1815,,,455,1,0.25,375.43,343.956,0.1815
335.343,343.942,0.1815,um,Spot,Position,1,1000000453,453,fill,454,1,0.25,335.343,343.942,0.1815,,,459,1,0.25,450.518,345.805,0.1815
375.43,343.956,0.1815,um,Spot,Position,1,1000000454,454,fill,455,1,0.25,375.43,343.956,0.1815,,,467,1,0.25,366.236,347.286,0.1815
450.518,345.805,0.1815,um,Spot,Position,1,1000000458,458,fill,459,1,0.25,450.518,345.805,0.1815,,,468,1,0.25,438.337,347.1,0.1815
366.236,347.286,0.1815,um,Spot,Position,1,1000000466,466,fill,467,1,0.25,366.236,347.286,0.1815,,,471,1,0.25,229.151,347.944,0.1815
438.337,347.1,0.1815,um,Spot,Position,1,1000000467,467,fill,468,1,0.25,438.337,347.1,0.1815,,,474,1,0.25,303.732,348.199,0.1815
229.151,347.944,0.1815,um,Spot,Position,1,1000000470,470,fill,471,1,0.25,229.151,347.944,0.1815,,,479,1,0.25,336.238,349.319,0.1815
303.732,348.199,0.1815,um,Spot,Position,1,1000000473,473,fill,474,1,0.25,303.732,348.199,0.1815,,,480,1,0.25,429.283,349.474,0.1815
336.238,349.319,0.1815,um,Spot,Position,1,1000000478,478,fill,479,1,0.25,336.238,349.319,0.1815,,,482,1,0.25,455.499,349.627,0.1815
429.283,349.474,0.1815,um,Spot,Position,1,1000000479,479,fill,480,1,0.25,429.283,349.474,0.1815,,,484,1,0.25,226.237,350.069,0.1815
455.499,349.627,0.1815,um,Spot,Position,1,1000000481,481,fill,482,1,0.25,455.499,349.627,0.1815,,,485,1,0.25,342.595,350.909,0.1815
226.237,350.069,0.1815,um,Spot,Position,1,1000000483,483,fill,484,1,0.25,226.237,350.069,0.1815,,,486,1,0.25,177.096,351.202,0.1815
342.595,350.909,0.1815,um,Spot,Position,1,1000000484,484,fill,485,1,0.25,342.595,350.909,0.1815,,,487,1,0.25,274.425,351.096,0.1815
177.096,351.202,0.1815,um,Spot,Position,1,1000000485,485,fill,486,1,0.25,177.096,351.202,0.1815,,,489,1,0.25,414.072,351.139,0.1815
274.425,351.096,0.1815,um,Spot,Position,1,1000000486,486,fill,487,1,0.25,274.425,351.096,0.1815,,,490,1,0.25,228.537,351.59,0.1815
414.072,351.139,0.1815,um,Spot,Position,1,1000000488,488,fill,489,1,0.25,414.072,351.139,0.1815,,,500,1,0.25,278.319,353.314,0.1815
228.537,351.59,0.1815,um,Spot,Position,1,1000000489,489,fill,490,1,0.25,228.537,351.59,0.1815,,,502,1,0.25,216.439,354.04,0.1815
278.319,353.314,0.1815,um,Spot,Position,1,1000000499,499,fill,500,1,0.25,278.319,353.314,0.1815,,,504,1,0.25,395.495,353.961,0.1815
216.439,354.04,0.1815,um,Spot,Position,1,1000000501,501,fill,502,1,0.25,216.439,354.04,0.1815,,,507,1,0.25,323.503,354.976,0.1815
395.495,353.961,0.1815,um,Spot,Position,1,1000000503,503,fill,504,1,0.25,395.495,353.961,0.1815,,,520,1,0.25,353.431,357.224,0.1815
323.503,354.976,0.1815,um,Spot,Position,1,1000000506,506,fill,507,1,0.25,323.503,354.976,0.1815,,,522,1,0.25,167.827,357.84,0.1815
353.431,357.224,0.1815,um,Spot,Position,1,1000000519,519,fill,520,1,0.25,353.431,357.224,0.1815,,,537,1,0.25,441.804,360.172,0.1815
167.827,357.84,0.1815,um,Spot,Position,1,1000000521,521,fill,522,1,0.25,167.827,357.84,0.1815,,,541,1,0.25,457.799,360.665,0.1815
441.804,360.172,0.1815,um,Spot,Position,1,1000000536,536,fill,537,1,0.25,441.804,360.172,0.1815,,,551,1,0.25,204.188,362.107,0.1815
457.799,360.665,0.1815,um,Spot,Position,1,1000000540,540,fill,541,1,0.25,457.799,360.665,0.1815,,,554,1,0.25,431.386,362.113,0.1815
204.188,362.107,0.1815,um,Spot,Position,1,1000000550,550,fill,551,1,0.25,204.188,362.107,0.1815,,,556,1,0.25,266.185,362.602,0.1815
431.386,362.113,0.1815,um,Spot,Position,1,1000000553,553,fill,554,1,0.25,431.386,362.113,0.1815,,,557,1,0.25,356.966,362.324,0.1815
266.185,362.602,0.1815,um,Spot,Position,1,1000000555,555,fill,556,1,0.25,266.185,362.602,0.1815,,,562,1,0.25,459.484,363.789,0.1815
356.966,362.324,0.1815,um,Spot,Position,1,1000000556,556,fill,557,1,0.25,356.966,362.324,0.1815,,,565,1,0.25,486.685,364.531,0.1815
